country,code,name,name_wo,sub_division,function,status,iata,coordinates,remarks,locode
FR,ZOG,Ronchin,Ronchin,59,1----6--,RL,,5036N 00306E,,FRZOG
FR,RNW,Roncourt,Roncourt,57,--3-----,RL,,4912N 00603E,,FRRNW
FR,RON,Roncq,Roncq,59,12------,AF,,5045N 00307E,,FRRON
FR,RO6,Ronel,Ronel,81,--3-----,RL,,4349N 00213E,,FRRO6
FR,RQ5,Ronquerolles,Ronquerolles,95,-23-----,RL,,4910N 00213E,,FRRQ5
FR,OOY,Ronssoy,Ronssoy,80,--3-----,RL,,4958N 00309E,,FROOY
FR,R69,Rontalon,Rontalon,69,--3-----,RL,,4539N 00437E,,FRR69
FR,RNZ,Ronzieres,Ronzieres,63,--3--6--,RL,,4531N 00309E,,FRRNZ
FR,RTC,Roôcourt-la-Côte,Roocourt-la-Cote,52,--3-----,RL,,4813N 00509E,,FRRTC
FR,RWA,Roost-Warendin,Roost-Warendin,59,--3-----,RL,,5025N 00305E,,FRRWA
FR,RPP,Roppe,Roppe,90,--3-----,RL,,4740N 00655E,,FRRPP
FR,RPM,Roppenheim,Roppenheim,67,--3-----,RL,,4851N 00803E,,FRRPM
FR,ROP,Roppentzwiller,Roppentzwiller,68,--3-----,RL,,4732N 00720E,,FRROP
FR,7RO,Roquebillière,Roquebilliere,6,--3-----,RL,,4401N 00718E,,FR7RO
FR,RQN,Roquebrun,Roquebrun,34,--3-----,RL,,4330N 00301E,,FRRQN
FR,QRB,Roquebrune,Roquebrune,33,-----6--,RL,,4438N 00001E,,FRQRB
FR,RQU,Roquebrune-Cap-Martin,Roquebrune-Cap-Martin,6,-23-----,RL,,4345N 00728E,,FRRQU
FR,RSA,Roquebrune-sur-Argens,Roquebrune-sur-Argens,83,1-3-----,AA,,4326N 00638E,,FRRSA
FR,WIK,Roquecourbe,Roquecourbe,81,1----6--,RL,,4340N 00218E,,FRWIK
FR,RQF,Roquefort,Roquefort,,--3-----,RQ,,,More than one place with this name,FRRQF
FR,BKD,Roquefort-des-Corbières,Roquefort-des-Corbieres,11,1----6--,RL,,4259N 00257E,,FRBKD
FR,RQB,Roquefort-la-Bédoule,Roquefort-la-Bedoule,13,--3--6--,RL,,4315N 00537E,,FRRQB
FR,QFT,Roquefort-les-Pins,Roquefort-les-Pins,6,--3-----,RL,,4339N 00703E,,FRQFT
FR,QJE,Roquelaure,Roquelaure,32,-----6--,RL,,4343N 00034E,,FRQJE
FR,RQM,Roquemaure,Roquemaure,30,--3-----,RL,,4403N 00446E,,FRRQM
FR,QND,Roqueredonde,Roqueredonde,34,-----6--,RL,,4348N 00313E,,FRQND
FR,RQZ,Roques,Roques,31,--3--6--,RL,,4331N 00123E,,FRRQZ
FR,RQV,Roques,Roques,32,--3-----,RL,,4351N 00017E,,FRRQV
FR,RQS,Roquesérière,Roqueseriere,31,--3-----,RL,,4344N 00138E,,FRRQS
FR,QUJ,Roquessels,Roquessels,34,-----6--,RL,,4333N 00313E,,FRQUJ
FR,QEJ,Roquetaillade,Roquetaillade,11,-----6--,RL,,4300N 00212E,,FRQEJ
