country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks,UNLogNumber
CL,CLPFL,Peñaflor,Penaflor,RM,--3-----,RN,,3337S 07055W,,
CL,CLPLN,Peñalolén,Penalolen,RM,--3-----,RN,,3329S 07032W,,
CL,CLPEN,Pencahue,Pencahue,ML,-23-----,RN,,3524S 07149W,,
CL,CLPEO,Penco,Penco,BI,123-----,AI,,3643S 07259W,,
CL,CLPER,Peralillo,Peralillo,LI,-23-----,RN,,3428S 07129W,,
CL,CLPQC,Perquenco,Perquenco,AR,-23-----,RN,,3825S 07223W,,
CL,CLPET,Petorca,Petorca,VS,--3-----,RN,,3215S 07056W,,
CL,CLPEU,Peumo,Peumo,LI,--3-----,RN,,3424S 07110W,,
CL,CLPIC,Pica,Pica,TA,--3-----,RN,,2030S 06921W,,
CL,CLPDH,Pichidegua,Pichidegua,LI,--3-----,RN,,3421S 07118W,,
CL,CLPLM,Pichilemu,Pichilemu,LI,--3-----,RN,,3423S 07200W,,
CL,CLPDM,Pidima,Pidima,AR,--3-----,RL,,3801S 07226W,,
CL,CLPIN,Pinto,Pinto,BI,--3-----,RN,,3642S 07154W,,
CL,CLPIR,Pirque,Pirque,RM,--3-----,RN,,3338S 07033W,,
CL,CLPIS,Pisagua,Pisagua,TA,1-------,RL,,1936S 07012W,,
CL,CLPIT,Pitrufquén,Pitrufquen,AR,-23-----,RN,,3859S 07239W,,
CL,CLPLA,Placilla,Placilla,LI,--3-----,RN,,3438S 07107W,,
CL,CLPLL,Placilla,Placilla,VS,--3-----,RL,,3306S 07135W,Valparaiso,
CL,CLPAQ,Placilla - Valparaiso,Placilla - Valparaiso,VS,--3-----,RL,,3226S 07118W,,
CL,CLPOR,Portezuelo,Portezuelo,BI,--3-----,RN,,3632S 07226W,,
CL,CLPVR,Porvenir,Porvenir,MA,--34----,RL,WPR,5318S 07022W,,
CL,CLWPR,Porvenir Apt,Porvenir Apt,MA,--34----,RL,,5315S 07019W,,
CL,CLPOS,Posesión,Posesion,CO,1-3-----,RN,,2954S 07004W,,
CL,CLPOZ,Pozo Almonte,Pozo Almonte,TA,--3-----,RN,,2016S 06948W,,
CL,CLPRI,Primavera,Primavera,MA,--3-----,RN,,5243S 06915W,,
CL,CLPRO,Providencia,Providencia,RM,--3-----,RN,QOV,3326S 07037W,,
CL,CLPCI,Puchuncaví,Puchuncavi,VS,--3-----,RN,,3243S 07124W,,
CL,CLPUC,Pucón,Pucon,AR,--3-----,RL,ZPC,3916S 07158W,,
CL,CLZPC,Pucón Apt,Pucon Apt,AR,---4----,RL,,3917S 07154W,,
CL,CLPUD,Pudahuel,Pudahuel,RM,--3-----,RN,,3323S 07046W,,
CL,CLPTA,Puente Alto,Puente Alto,RM,--3-----,RN,,3337S 07035W,,
CL,CLPNG,Puente Negro,Puente Negro,LI,--3-----,RL,,3440S 07053W,,
CL,CLWPA,Puerto Aisén,Puerto Aisen,AI,1--4----,AI,,4523S 07242W,,
CL,CLPAG,Puerto Angamos,Puerto Angamos,AN,123-----,RL,,2305S 07027W,,
CL,CLPSN,Puerto Aysen,Puerto Aysen,AI,--3-----,RL,,4524S 07241W,,
CL,CLPCH,Puerto Chacabuco,Puerto Chacabuco,AI,1-3-----,RL,,4529S 07250W,,
CL,CLCIS,Puerto Cisnes,Puerto Cisnes,AI,1-3-----,RN,,4444S 07242W,,
CL,CLEDE,Puerto Edén,Puerto Eden,MA,1-------,RL,,4909S 07427W,,
CL,CLPMC,Puerto Montt,Puerto Montt,LL,1234----,AI,,4128S 07257W,,
CL,CLPNT,Puerto Natales,Puerto Natales,MA,1-34----,AI,,5143S 07230W,,
CL,CLPOC,Puerto Octay,Puerto Octay,LL,1-3-----,RN,,4058S 07254W,,
CL,CLPAT,Puerto Patache,Puerto Patache,TA,1-------,RL,,2048S 07012W,,
CL,CLPPY,Puerto Percy,Puerto Percy,MA,1-------,AI,,5254S 07016W,,
CL,CLPVS,Puerto Varas,Puerto Varas,LL,123-----,RN,PUX,4119S 07259W,,
CL,CLWPU,Puerto Williams,Puerto Williams,MA,1--4----,AI,,5455S 06737W,,
CL,CLPUM,Pumanque,Pumanque,LI,--3-----,RN,,3436S 07140W,,
CL,CLPUN,Punitaqui,Punitaqui,CO,--3-----,RN,,3054S 07116W,,
CL,CLPUQ,Punta Arenas,Punta Arenas,MA,1-34----,AI,,5308S 07056W,,
CL,CLPTC,Punta Chungo,Punta Chungo,CO,123-----,RL,,3152S 07130W,,
CL,CLPPD,Punta Padrones,Punta Padrones,,1----6--,RL,,,,
CL,CLPPC,Punta Patache,Punta Patache,,-----6--,RL,,2049S 07013W,,
CL,CLPQD,Puqueldón,Puqueldon,LL,1-------,RN,,4235S 07338W,,
CL,CLPUR,Purén,Puren,AR,-23-----,RN,,3801S 07305W,,
CL,CLPRQ,Purranque,Purranque,LL,-23-----,RN,,4055S 07310W,,
CL,CLPTO,Putaendo,Putaendo,VS,-23-----,RN,,3238S 07044W,,
CL,CLPUT,Putre,Putre,AP,--3-----,RN,,1812S 06935W,,
CL,CLPYH,Puyehue,Puyehue,LL,-23-----,RN,,4040S 07237W,,
CL,CLQLN,Queilén,Queilen,LL,1-3-----,RN,,4252S 07328W,,
CL,CLPTE,Quellón (Puerto Quellón),Quellon (Puerto Quellon),LL,1-3-----,RL,,4306S 07337W,,
CL,CLQUV,Quellón Viejo,Quellon Viejo,LL,1-3-----,RL,,4308S 07340W,,
